127.0.0.1 - - [17/Jan/2022:16:46:48 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [17/Jan/2022:16:46:49 +0530] "GET /ProjectKFC/ HTTP/1.1" 200 751
0:0:0:0:0:0:0:1 - - [17/Jan/2022:16:46:49 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [17/Jan/2022:16:46:52 +0530] "GET /ProjectKFC/login.jsp? HTTP/1.1" 200 1587
0:0:0:0:0:0:0:1 - - [17/Jan/2022:16:47:01 +0530] "POST /ProjectKFC/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Jan/2022:16:47:01 +0530] "GET /ProjectKFC/mainPage.jsp HTTP/1.1" 200 3343
0:0:0:0:0:0:0:1 - - [17/Jan/2022:16:47:01 +0530] "GET /ProjectKFC/image/KFC%20Logo2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2022:16:47:01 +0530] "GET /ProjectKFC/image/Bucket.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2022:16:47:05 +0530] "GET /ProjectKFC/showOrders.jsp?userId=126 HTTP/1.1" 200 18766
0:0:0:0:0:0:0:1 - - [17/Jan/2022:16:47:08 +0530] "GET /ProjectKFC/mainPage.jsp HTTP/1.1" 200 3343
0:0:0:0:0:0:0:1 - - [17/Jan/2022:16:47:10 +0530] "GET /ProjectKFC/showProducts.jsp HTTP/1.1" 200 10147
0:0:0:0:0:0:0:1 - - [17/Jan/2022:16:47:14 +0530] "GET /ProjectKFC/cart.jsp?userId=126 HTTP/1.1" 200 2731
0:0:0:0:0:0:0:1 - - [17/Jan/2022:16:49:11 +0530] "GET /ProjectKFC/mainPage.jsp HTTP/1.1" 200 3343
0:0:0:0:0:0:0:1 - - [17/Jan/2022:16:49:15 +0530] "GET /ProjectKFC/login.jsp HTTP/1.1" 200 1587
0:0:0:0:0:0:0:1 - - [17/Jan/2022:16:49:29 +0530] "POST /ProjectKFC/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Jan/2022:16:49:29 +0530] "GET /ProjectKFC/AdminPage.jsp HTTP/1.1" 200 1082
0:0:0:0:0:0:0:1 - - [17/Jan/2022:16:51:33 +0530] "GET /ProjectKFC/Insert.jsp? HTTP/1.1" 200 845
0:0:0:0:0:0:0:1 - - [17/Jan/2022:16:51:37 +0530] "GET /ProjectKFC/Update.jsp? HTTP/1.1" 200 983
0:0:0:0:0:0:0:1 - - [17/Jan/2022:16:51:42 +0530] "POST /ProjectKFC/Update.jsp? HTTP/1.1" 200 983
0:0:0:0:0:0:0:1 - - [17/Jan/2022:16:51:44 +0530] "GET /ProjectKFC/OrderStatus? HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Jan/2022:16:51:44 +0530] "GET /ProjectKFC/OrderStatus.jsp HTTP/1.1" 200 1694
0:0:0:0:0:0:0:1 - - [17/Jan/2022:16:51:47 +0530] "GET /ProjectKFC/Orderstatus? HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Jan/2022:16:51:47 +0530] "GET /ProjectKFC/Update.jsp HTTP/1.1" 200 983
0:0:0:0:0:0:0:1 - - [17/Jan/2022:16:51:49 +0530] "GET /ProjectKFC/OrderStatus? HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Jan/2022:16:51:49 +0530] "GET /ProjectKFC/OrderStatus.jsp HTTP/1.1" 200 822
