127.0.0.1 - - [13/Jan/2022:09:10:10 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [13/Jan/2022:09:10:11 +0530] "GET /ProjectKFC/ HTTP/1.1" 200 751
0:0:0:0:0:0:0:1 - - [13/Jan/2022:09:10:11 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [13/Jan/2022:09:10:13 +0530] "GET /ProjectKFC/login.jsp? HTTP/1.1" 200 1587
0:0:0:0:0:0:0:1 - - [13/Jan/2022:09:10:32 +0530] "GET /ProjectKFC/Register.jsp HTTP/1.1" 200 1869
0:0:0:0:0:0:0:1 - - [13/Jan/2022:09:10:47 +0530] "POST /ProjectKFC/s1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Jan/2022:09:10:47 +0530] "GET /ProjectKFC/Register.jsp HTTP/1.1" 200 1949
0:0:0:0:0:0:0:1 - - [13/Jan/2022:09:11:47 +0530] "GET /ProjectKFC/Register.jsp HTTP/1.1" 200 1869
0:0:0:0:0:0:0:1 - - [13/Jan/2022:09:11:54 +0530] "POST /ProjectKFC/s1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Jan/2022:09:11:54 +0530] "GET /ProjectKFC/Register.jsp HTTP/1.1" 200 1956
0:0:0:0:0:0:0:1 - - [13/Jan/2022:09:14:17 +0530] "POST /ProjectKFC/s1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Jan/2022:09:14:17 +0530] "GET /ProjectKFC/Register.jsp HTTP/1.1" 200 1885
0:0:0:0:0:0:0:1 - - [13/Jan/2022:09:15:07 +0530] "GET /ProjectKFC/Register.jsp HTTP/1.1" 200 1885
0:0:0:0:0:0:0:1 - - [13/Jan/2022:09:15:20 +0530] "POST /ProjectKFC/s1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Jan/2022:09:15:20 +0530] "GET /ProjectKFC/Register.jsp HTTP/1.1" 200 1885
0:0:0:0:0:0:0:1 - - [13/Jan/2022:09:19:28 +0530] "GET /ProjectKFC/Register.jsp HTTP/1.1" 200 1885
0:0:0:0:0:0:0:1 - - [13/Jan/2022:09:19:44 +0530] "POST /ProjectKFC/s1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Jan/2022:09:19:44 +0530] "GET /ProjectKFC/Register.jsp HTTP/1.1" 200 1885
0:0:0:0:0:0:0:1 - - [13/Jan/2022:09:20:52 +0530] "GET /ProjectKFC/Register.jsp HTTP/1.1" 200 1885
0:0:0:0:0:0:0:1 - - [13/Jan/2022:09:21:25 +0530] "POST /ProjectKFC/s1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Jan/2022:09:21:25 +0530] "GET /ProjectKFC/Register.jsp HTTP/1.1" 200 1885
0:0:0:0:0:0:0:1 - - [13/Jan/2022:09:21:47 +0530] "GET /ProjectKFC/Register.jsp HTTP/1.1" 200 1885
0:0:0:0:0:0:0:1 - - [13/Jan/2022:09:22:14 +0530] "POST /ProjectKFC/s1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Jan/2022:10:04:44 +0530] "GET /ProjectKFC/Register.jsp HTTP/1.1" 200 1885
0:0:0:0:0:0:0:1 - - [13/Jan/2022:10:05:07 +0530] "POST /ProjectKFC/s1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Jan/2022:10:05:07 +0530] "GET /ProjectKFC/Register.jsp HTTP/1.1" 200 1966
0:0:0:0:0:0:0:1 - - [13/Jan/2022:10:40:50 +0530] "GET /ProjectKFC/Register.jsp HTTP/1.1" 200 1885
0:0:0:0:0:0:0:1 - - [13/Jan/2022:10:40:59 +0530] "POST /ProjectKFC/s1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Jan/2022:10:40:59 +0530] "GET /ProjectKFC/Register.jsp HTTP/1.1" 200 1972
0:0:0:0:0:0:0:1 - - [13/Jan/2022:10:41:10 +0530] "GET /ProjectKFC/Register.jsp HTTP/1.1" 200 1885
0:0:0:0:0:0:0:1 - - [13/Jan/2022:10:41:27 +0530] "GET /ProjectKFC/Register.jsp HTTP/1.1" 200 1885
0:0:0:0:0:0:0:1 - - [13/Jan/2022:10:41:34 +0530] "POST /ProjectKFC/s1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Jan/2022:10:41:34 +0530] "GET /ProjectKFC/Register.jsp HTTP/1.1" 200 1972
0:0:0:0:0:0:0:1 - - [13/Jan/2022:10:41:52 +0530] "GET /ProjectKFC/Register.jsp HTTP/1.1" 200 1884
0:0:0:0:0:0:0:1 - - [13/Jan/2022:10:42:05 +0530] "POST /ProjectKFC/s1 HTTP/1.1" 302 -
