127.0.0.1 - - [18/Jan/2022:09:29:13 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [18/Jan/2022:09:29:14 +0530] "GET /ProjectKFC/ HTTP/1.1" 200 751
0:0:0:0:0:0:0:1 - - [18/Jan/2022:09:29:14 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [18/Jan/2022:09:29:19 +0530] "GET /ProjectKFC/login.jsp? HTTP/1.1" 200 1587
0:0:0:0:0:0:0:1 - - [18/Jan/2022:09:29:34 +0530] "POST /ProjectKFC/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Jan/2022:09:29:34 +0530] "GET /ProjectKFC/mainPage.jsp HTTP/1.1" 200 3341
0:0:0:0:0:0:0:1 - - [18/Jan/2022:10:04:52 +0530] "GET /ProjectKFC/showOrders.jsp?userId=102 HTTP/1.1" 500 2746
0:0:0:0:0:0:0:1 - - [18/Jan/2022:10:04:56 +0530] "GET /ProjectKFC/login.jsp HTTP/1.1" 200 1587
0:0:0:0:0:0:0:1 - - [18/Jan/2022:10:05:06 +0530] "POST /ProjectKFC/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Jan/2022:10:05:06 +0530] "GET /ProjectKFC/mainPage.jsp HTTP/1.1" 200 3336
0:0:0:0:0:0:0:1 - - [18/Jan/2022:10:05:06 +0530] "GET /ProjectKFC/image/Bucket.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jan/2022:10:05:16 +0530] "GET /ProjectKFC/showOrders.jsp?userId=24 HTTP/1.1" 200 12746
0:0:0:0:0:0:0:1 - - [18/Jan/2022:10:38:51 +0530] "GET /ProjectKFC/showOrders.jsp?userId=24 HTTP/1.1" 500 2746
0:0:0:0:0:0:0:1 - - [18/Jan/2022:10:38:53 +0530] "GET /ProjectKFC/login.jsp HTTP/1.1" 200 1587
0:0:0:0:0:0:0:1 - - [18/Jan/2022:10:38:58 +0530] "POST /ProjectKFC/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Jan/2022:10:38:58 +0530] "GET /ProjectKFC/mainPage.jsp HTTP/1.1" 200 3336
0:0:0:0:0:0:0:1 - - [18/Jan/2022:10:39:00 +0530] "GET /ProjectKFC/showOrders.jsp?userId=24 HTTP/1.1" 200 2845
0:0:0:0:0:0:0:1 - - [18/Jan/2022:10:45:03 +0530] "GET /ProjectKFC/showOrders.jsp?userId=24 HTTP/1.1" 500 3227
0:0:0:0:0:0:0:1 - - [18/Jan/2022:10:45:11 +0530] "GET /ProjectKFC/showProducts.jsp HTTP/1.1" 500 2750
0:0:0:0:0:0:0:1 - - [18/Jan/2022:10:45:13 +0530] "GET /ProjectKFC/login.jsp HTTP/1.1" 200 1587
0:0:0:0:0:0:0:1 - - [18/Jan/2022:10:45:19 +0530] "POST /ProjectKFC/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Jan/2022:10:45:19 +0530] "GET /ProjectKFC/mainPage.jsp HTTP/1.1" 200 3336
0:0:0:0:0:0:0:1 - - [18/Jan/2022:10:45:21 +0530] "GET /ProjectKFC/showOrders.jsp?userId=24 HTTP/1.1" 500 3227
0:0:0:0:0:0:0:1 - - [18/Jan/2022:10:46:23 +0530] "GET /ProjectKFC/mainPage.jsp HTTP/1.1" 200 3336
0:0:0:0:0:0:0:1 - - [18/Jan/2022:10:46:25 +0530] "GET /ProjectKFC/showOrders.jsp?userId=24 HTTP/1.1" 500 2978
0:0:0:0:0:0:0:1 - - [18/Jan/2022:10:48:41 +0530] "GET /ProjectKFC/mainPage.jsp HTTP/1.1" 200 3336
