0:0:0:0:0:0:0:1 - - [20/Jan/2022:17:47:44 +0530] "GET /ProjectKFC/image/backround.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2022:17:47:50 +0530] "GET /ProjectKFC/login.jsp HTTP/1.1" 200 1621
0:0:0:0:0:0:0:1 - - [20/Jan/2022:17:48:16 +0530] "GET /ProjectKFC/login.jsp HTTP/1.1" 200 1621
0:0:0:0:0:0:0:1 - - [20/Jan/2022:17:48:16 +0530] "GET /ProjectKFC/image/backround.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2022:17:48:25 +0530] "GET /ProjectKFC/login.jsp HTTP/1.1" 200 1621
0:0:0:0:0:0:0:1 - - [20/Jan/2022:17:48:33 +0530] "GET /ProjectKFC/login.jsp HTTP/1.1" 200 1622
0:0:0:0:0:0:0:1 - - [20/Jan/2022:17:48:56 +0530] "GET /ProjectKFC/login.jsp HTTP/1.1" 200 1593
0:0:0:0:0:0:0:1 - - [20/Jan/2022:17:48:56 +0530] "GET /ProjectKFC/image/backround.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2022:17:54:44 +0530] "GET /ProjectKFC/login.jsp HTTP/1.1" 200 1616
0:0:0:0:0:0:0:1 - - [20/Jan/2022:17:54:44 +0530] "GET /ProjectKFC/image/backround.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2022:17:54:55 +0530] "GET /ProjectKFC/login.jsp HTTP/1.1" 200 1617
0:0:0:0:0:0:0:1 - - [20/Jan/2022:17:55:10 +0530] "GET /ProjectKFC/login.jsp HTTP/1.1" 200 1617
0:0:0:0:0:0:0:1 - - [20/Jan/2022:17:56:24 +0530] "GET /ProjectKFC/login.jsp HTTP/1.1" 200 1649
0:0:0:0:0:0:0:1 - - [20/Jan/2022:17:56:24 +0530] "GET /ProjectKFC/image/backround.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2022:17:56:43 +0530] "GET /ProjectKFC/login.jsp HTTP/1.1" 200 1649
0:0:0:0:0:0:0:1 - - [20/Jan/2022:17:57:45 +0530] "GET /ProjectKFC/login.jsp HTTP/1.1" 200 1623
0:0:0:0:0:0:0:1 - - [20/Jan/2022:17:57:45 +0530] "GET /ProjectKFC/image/backround.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2022:17:58:37 +0530] "GET /ProjectKFC/login.jsp HTTP/1.1" 200 1635
0:0:0:0:0:0:0:1 - - [20/Jan/2022:17:58:59 +0530] "GET /ProjectKFC/login.jsp HTTP/1.1" 200 1623
0:0:0:0:0:0:0:1 - - [20/Jan/2022:17:59:18 +0530] "GET /ProjectKFC/login.jsp HTTP/1.1" 200 1623
0:0:0:0:0:0:0:1 - - [20/Jan/2022:17:59:18 +0530] "GET /ProjectKFC/image/backround.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2022:17:59:29 +0530] "GET /ProjectKFC/login.jsp HTTP/1.1" 200 1623
